Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       55   55.0000       3.70800       3.70800       3.70800      0.906152E-01  0.320951E-02   0.00000      -77.0395      -8.27374      -17.0779       76.1154       0.00000      -329.797       16.0500      0.500000       1.47230       5.33032      -1.20326       0.00000       0.00000       0.00000       0.00000    
       56   56.0000       3.70836       3.70836       3.70836      0.207958      0.736569E-02   0.00000      -56.1416      -6.97055      -25.4382       54.5633       0.00000      -329.799       16.0500      0.500000       1.49489       5.31754      -1.17549       0.00000       0.00000       0.00000       0.00000    
       57   57.0000       3.70784       3.70784       3.70784      0.101507      0.359530E-02  0.916055E-03  -58.1395      -3.34993      -14.7707       71.8376       0.00000      -329.796       16.0500      0.500000       1.51667       5.30526      -1.15014       0.00000       0.00000       0.00000       0.00000    
       58   58.0000       3.72687       3.72687       3.72687      0.121254      0.429455E-02   0.00000      -70.0194      -5.90326      -21.3201       73.6127       0.00000      -329.887       16.0500      0.500000       1.54690       5.28826      -1.10223       0.00000       0.00000       0.00000       0.00000    
       59   59.0000       3.73289       3.73289       3.73289      0.521612E-01  0.184742E-02  0.125784E-02  -57.1641     -0.605474      -10.0181       80.3993       0.00000      -329.915       16.0500      0.500000       1.57039       5.27512      -1.07242       0.00000       0.00000       0.00000       0.00000    
       60   60.0000       3.76405       3.76405       3.76405      0.150111      0.531623E-02   0.00000      -66.5482      -8.02636      -27.7028       63.2888       0.00000      -330.064       16.0500      0.500000       1.60534       5.25563      -1.01462       0.00000       0.00000       0.00000       0.00000    
       61   61.0000       3.76117       3.76117       3.76117      0.139644      0.494559E-02  0.143576E-02  -16.0182       2.33576      -8.03972       43.3878       0.00000      -330.050       16.0500      0.500000       1.62306       5.24580     -0.998866       0.00000       0.00000       0.00000       0.00000    
       62   62.0000       3.79753       3.79753       3.79753      0.855418E-01  0.302930E-02   0.00000      -80.4937      -7.48151      -16.2237       92.1909       0.00000      -330.224       16.0500      0.500000       1.65983       5.22545     -0.939425       0.00000       0.00000       0.00000       0.00000    
       63   63.0000       3.81373       3.81373       3.81373      0.579473E-01  0.205203E-02  0.117859E-02  -69.0034      -2.33453      -11.2422       97.2810       0.00000      -330.301       16.0500      0.500000       1.67764       5.21565     -0.912528       0.00000       0.00000       0.00000       0.00000    
       64   64.0000       3.85114       3.85114       3.85114      0.815891E-01  0.288903E-02  0.114173E-02  -55.4276      -1.18197      -13.6299       84.8808       0.00000      -330.479       16.0500      0.500000       1.71436       5.19550     -0.856319       0.00000       0.00000       0.00000       0.00000    
       65   65.0000       3.88999       3.88999       3.88999      0.162444      0.575161E-02   0.00000      -82.7512      -5.41128      -29.8799       91.2103       0.00000      -330.665       16.0500      0.500000       1.75150       5.17522     -0.801299       0.00000       0.00000       0.00000       0.00000    
       66   66.0000       3.90186       3.90186       3.90186      0.148640      0.526276E-02   0.00000      -128.493      -18.5032      -43.8138       103.407       0.00000      -330.722       16.0500      0.500000       1.77355       5.16326     -0.776665       0.00000       0.00000       0.00000       0.00000    
       67   67.0000       3.87070       3.87070       3.87070      0.788438E-01  0.279171E-02   0.00000      -95.2904      -6.58771      -24.5306       104.659       0.00000      -330.573       16.0500      0.500000       1.77124       5.16451     -0.797653       0.00000       0.00000       0.00000       0.00000    
       68   68.0000       3.88373       3.88373       3.88373      0.695724E-01  0.246337E-02  0.803039E-03  -79.5088      -5.14704      -17.6015       101.048       0.00000      -330.635       16.0500      0.500000       1.78658       5.15621     -0.777772       0.00000       0.00000       0.00000       0.00000    
       69   69.0000       3.91233       3.91233       3.91233      0.899479E-01  0.318463E-02  0.906376E-03  -72.1553      -2.95725      -18.5624       103.034       0.00000      -330.772       16.0500      0.500000       1.81754       5.13950     -0.737298       0.00000       0.00000       0.00000       0.00000    
       70   70.0000       3.95286       3.95286       3.95286       0.00000      0.894403E-04  0.923354E-03  -24.9837      0.312128E-01 -0.346432E-02   82.2902       0.00000      -330.965       16.0500      0.500000       1.85501       5.11938     -0.686701       0.00000       0.00000       0.00000       0.00000    
       71   71.0000       4.02719       4.02719       4.02719       0.00000      0.754608E-04   0.00000      -16.5707      0.203507E-01 -0.196619E-01   68.9917       0.00000      -331.320       16.0500      0.500000       1.91229       5.08880     -0.606225       0.00000       0.00000       0.00000       0.00000    
       72   72.0000       4.09620       4.09515       4.02719       0.00000      0.755229E-04   0.00000      -32.4073      0.217618E-01 -0.250962E-01   93.4140       0.00000      -331.650       15.5642      0.500000       1.92442       5.08238     -0.598764       0.00000       0.00000       0.00000       0.00000    
       73   73.0000       4.17793       4.17411       4.02719      0.850707E-01  0.301042E-02   0.00000      -37.3272       4.07867      -10.8103       89.7545       0.00000      -332.042       15.2363      0.500000       1.93639       5.07606     -0.591499       0.00000       0.00000       0.00000       0.00000    
       74   74.0000       4.25930       4.24207       4.02719      0.240646      0.851450E-02   0.00000      -12.3327       21.9319      -25.2193       64.7734       0.00000      -332.432       13.6668      0.500000       1.94820       5.06984     -0.584422       0.00000       0.00000       0.00000       0.00000    
       75   75.0000       4.31003       4.31003       4.31003      0.273533      0.967716E-02   0.00000       77.9141       51.8951       27.9979       63.4232       0.00000      -332.675       16.0500      0.500000       2.13811       4.96998     -0.337055       0.00000       0.00000       0.00000       0.00000    
       76   76.0000       4.49162       4.49162       4.49162      0.386125      0.136557E-01   0.00000       89.9024       57.1197       32.6790       26.5995       0.00000      -333.547       16.0500      0.500000       2.28245       4.89659     -0.193756       0.00000       0.00000       0.00000       0.00000    
       77   77.0000       4.64119       4.64119       4.64119       0.00000      0.874940E-04   0.00000      -5.08187      0.513202E-01 -0.160981E-01   67.2725       0.00000      -334.266       16.0500      0.500000       2.41508       4.83096     -0.858071E-01   0.00000       0.00000       0.00000       0.00000    
